Name,Converter station 1,Converter station 2,Total Length (Cable/Pole) (km),Nominal  Voltage  (kV),Power (MW),Year,Type,Remarks,Ref,x1,y1,x2,y2
Elbe-Project,Germany - Vockerode 51°50′40″N 12°21′50″E﻿ / ﻿51.84444°N 12.36389°E,"Germany - Berlin, Marienfelde 52°25′49″N 13°22′42″E﻿ / ﻿52.43028°N 13.37833°E",115 (115/0),200,60,1945,Merc,Never placed in service Dismantled,,12.36388889,51.84444444,13.37833333,52.43027778
Gotland 1,Sweden - Västervik 57°43′41″N 16°38′51″E﻿ / ﻿57.72806°N 16.64750°E,Sweden - Yigne 57°35′13″N 18°11′44″E﻿ / ﻿57.58694°N 18.19556°E,98 (98/0),200,20,1954,Merc,"World's first commercial HVDC link. Expanded by ABB in 1970, decommissioned in 1986",[1][45],16.6475,57.72805556,18.19555556,57.58694444
Cross-Channel,France - Echingen 50°41′48″N 1°38′21″E﻿ / ﻿50.69667°N 1.63917°E,UK - Lydd 50°54′54″N 0°56′50″E﻿ / ﻿50.91500°N 0.94722°E,64 (64/0),100,160,1961,Merc,Shut down in 1984,[1],1.639166667,50.69666667,0.947222222,50.915
Volgograd-Donbass,Russia - Volzhskaya 48°49′34″N 44°40′20″E﻿ / ﻿48.82611°N 44.67222°E,Ukraine - Mikhailovskaya 48°39′13″N 38°33′56″E﻿ / ﻿48.65361°N 38.56556°E,475 (0/475),400,750,1965,Merc/Thyr,Shut down in 2014,[1],44.67222222,48.82611111,38.56555556,48.65361111
Konti-Skan 1,Denmark - Vester Hassing 57°3′46″N 10°5′24″E﻿ / ﻿57.06278°N 10.09000°E,Sweden - Stenkullen 57°48′15″N 12°19′13″E﻿ / ﻿57.80417°N 12.32028°E,176 (87/89),250,250,1965,Merc,Replaced in August 2006 by modern converters using thyristors,[1],10.09,57.06277778,12.32027778,57.80416667
SACOI 1,Italy - Suvereto 43°3′10″N 10°41′42″E﻿ / ﻿43.05278°N 10.69500°E ( before 1992: Italy - San Dalmazio 43°15′43″N 10°55′05″E﻿ / ﻿43.26194°N 10.91806°E),"France- Lucciana 42°31′40″N 9°26′59″E﻿ / ﻿42.52778°N 9.44972°E ; Codrongianos, Italy 40°39′7″N 8°42′48″E﻿ / ﻿40.65194°N 8.71333°E",483 (365/118),200,200,1965,Merc,"Replaced in 1986 by Thyr, multiterminal scheme. The line reused by SACOI 2, see below.",[1],10.695,43.05277778,9.449722222,42.52777778
Kingsnorth,UK - Kingsnorth 51°25′11″N 0°35′46″E﻿ / ﻿51.41972°N 0.59611°E,UK - London-Beddington 51°22′23″N 0°7′38″W﻿ / ﻿51.37306°N 0.12722°W,85 (85/0),266,320,1975,Merc,Bipolar scheme Supplier: English Electric Shut down in 1987,[46],0.596111111,51.41972222,-0.127222222,51.37305556
Skagerrak 1 + 2,Denmark - Tjele 56°28′44″N 9°34′1″E﻿ / ﻿56.47889°N 9.56694°E,Norway - Kristiansand 58°15′36″N 7°53′55″E﻿ / ﻿58.26000°N 7.89861°E,230 (130/100),250,500,1977,Thyr,Supplier: STK(Nexans) Control system upgrade by ABB in 2007,[47][48][49],9.566944444,56.47888889,7.898611111,58.26
Gotland 2,Sweden - Västervik 57°43′41″N 16°38′51″E﻿ / ﻿57.72806°N 16.64750°E,Sweden - Yigne 57°35′13″N 18°11′44″E﻿ / ﻿57.58694°N 18.19556°E,99.5 (92.9/6.6),150,130,1983,Thyr,Supplier: ABB,,16.6475,57.72805556,18.19555556,57.58694444
Interconnexion France Angleterre (new),France - Les Mandarins 50°54′11″N 1°47′5″E﻿ / ﻿50.90306°N 1.78472°E,UK - Sellindge 51°6′21″N 0°58′32″E﻿ / ﻿51.10583°N 0.97556°E,72 (72/0),270,2000,1986,Thyr,2 bipolar systems Supplier: Alstom,[1][50],1.784722222,50.90305556,0.975555556,51.10583333
Gotland 3,Sweden - Västervik 57°43′41″N 16°38′51″E﻿ / ﻿57.72806°N 16.64750°E,Sweden - Yigne 57°35′13″N 18°11′44″E﻿ / ﻿57.58694°N 18.19556°E,98 (98/0),150,130,1987,Thyr,Supplier: ABB,,16.6475,57.72805556,18.19555556,57.58694444
